model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,20,piab,no,high,beta,52.97368317615924
ILAND,dischma,historic,20,piab,no,high_future,alpha,93.5637871601715
ILAND,dischma,historic,20,piab,no,high_future,beta,52.968305750046966
ILAND,dischma,historic,20,piab,no,low,alpha,153.73681578404376
ILAND,dischma,historic,20,piab,no,low,beta,145.04088006853073
ILAND,dischma,historic,20,piab,no,no,prod,195.7321770301383
ILAND,dischma,historic,20,pice,future,high,alpha,9.654918012161126
ILAND,dischma,historic,20,pice,future,high,beta,16.00065309824143
ILAND,dischma,historic,20,pice,future,high_future,alpha,9.673316770895571
ILAND,dischma,historic,20,pice,future,high_future,beta,16.0072085308275
ILAND,dischma,historic,20,pice,future,low,alpha,0.5449245512851333
ILAND,dischma,historic,20,pice,future,low,beta,0.8291074852184155
ILAND,dischma,historic,20,pice,historic,high,alpha,9.658624834700717
ILAND,dischma,historic,20,pice,historic,high,beta,16.133366818187554
ILAND,dischma,historic,20,pice,historic,high_future,alpha,9.68991623927899
ILAND,dischma,historic,20,pice,historic,high_future,beta,16.10993329555336
ILAND,dischma,historic,20,pice,historic,low,alpha,0.5466646453270432
ILAND,dischma,historic,20,pice,historic,low,beta,0.8324971869395781
ILAND,dischma,historic,20,pice,no,high,alpha,9.686028248008869
ILAND,dischma,historic,20,pice,no,high,beta,16.249394791849078
ILAND,dischma,historic,20,pice,no,high_future,alpha,9.675108118683793
ILAND,dischma,historic,20,pice,no,high_future,beta,16.25779172138148
ILAND,dischma,historic,20,pice,no,low,alpha,0.5480402297944653
ILAND,dischma,historic,20,pice,no,low,beta,0.8319104112798059
ILAND,dischma,historic,20,pisy,future,high_future,alpha,6.29720352767671e-4
ILAND,dischma,historic,20,pisy,historic,high_future,alpha,6.136599728355299e-4
ILAND,dischma,historic,20,pisy,no,high_future,alpha,6.288099496555742e-4
ILAND,dischma,historic,20,potr,future,high,alpha,0.335933631497632
ILAND,dischma,historic,20,potr,future,high,beta,1.1360290968489641
ILAND,dischma,historic,20,potr,future,high_future,alpha,0.31773999734902564
ILAND,dischma,historic,20,potr,future,high_future,beta,1.108107262939344
ILAND,dischma,historic,20,potr,historic,high,alpha,0.32846373985415545
ILAND,dischma,historic,20,potr,historic,high,beta,1.1448667003874538
ILAND,dischma,historic,20,potr,historic,high_future,alpha,0.31013153322931797
ILAND,dischma,historic,20,potr,historic,high_future,beta,1.117757089977307
ILAND,dischma,historic,20,potr,no,high,alpha,0.3259061191676029
ILAND,dischma,historic,20,potr,no,high,beta,1.1504763657234585
ILAND,dischma,historic,20,potr,no,high_future,alpha,0.3055607411214115
ILAND,dischma,historic,20,potr,no,high_future,beta,1.1207962883135196
ILAND,dischma,historic,30,abal,future,high_future,alpha,0.10863463415889996
ILAND,dischma,historic,30,abal,future,high_future,beta,0.128910392576201
ILAND,dischma,historic,30,abal,historic,high_future,alpha,0.10875488506297895
ILAND,dischma,historic,30,abal,historic,high_future,beta,0.12921387539113005
ILAND,dischma,historic,30,abal,no,high_future,alpha,0.10889089179458752
ILAND,dischma,historic,30,abal,no,high_future,beta,0.12883558761271147
ILAND,dischma,historic,30,alvi,future,high,alpha,8.625753132055311e-4
ILAND,dischma,historic,30,alvi,future,high,beta,4.4645385703683416e-4
ILAND,dischma,historic,30,alvi,future,high_future,alpha,8.807595649810825e-4
ILAND,dischma,historic,30,alvi,future,high_future,beta,4.5143514361841965e-4
ILAND,dischma,historic,30,alvi,future,low,alpha,8.570940530821601e-4
ILAND,dischma,historic,30,alvi,future,low,beta,8.145820309800518e-5
ILAND,dischma,historic,30,alvi,historic,high,alpha,8.627071570088423e-4
ILAND,dischma,historic,30,alvi,historic,high,beta,4.537353419707856e-4
ILAND,dischma,historic,30,alvi,historic,high_future,alpha,8.819400208728754e-4
ILAND,dischma,historic,30,alvi,historic,high_future,beta,4.3807882613190654e-4
ILAND,dischma,historic,30,alvi,historic,low,alpha,8.646419458000447e-4
ILAND,dischma,historic,30,alvi,historic,low,beta,8.391741865828133e-5
ILAND,dischma,historic,30,alvi,no,high,alpha,8.56537969036276e-4
ILAND,dischma,historic,30,alvi,no,high,beta,4.8543580698973436e-4
ILAND,dischma,historic,30,alvi,no,high_future,alpha,8.516690514745636e-4
ILAND,dischma,historic,30,alvi,no,high_future,beta,4.582770118017642e-4
ILAND,dischma,historic,30,alvi,no,low,alpha,8.76463214868835e-4
ILAND,dischma,historic,30,alvi,no,low,beta,7.277323790742155e-5
ILAND,dischma,historic,30,bepe,future,high,alpha,4.024070623655312
ILAND,dischma,historic,30,bepe,future,high,beta,5.1690272581394865
ILAND,dischma,historic,30,bepe,future,high_future,alpha,3.76911110437571
ILAND,dischma,historic,30,bepe,future,high_future,beta,5.103801864722495
ILAND,dischma,historic,30,bepe,historic,high,alpha,3.99468830791837
ILAND,dischma,historic,30,bepe,historic,high,beta,5.169223534101671
ILAND,dischma,historic,30,bepe,historic,high_future,alpha,3.7253162476277124
ILAND,dischma,historic,30,bepe,historic,high_future,beta,5.118448272367226
ILAND,dischma,historic,30,bepe,no,high,alpha,3.9611152275587074
ILAND,dischma,historic,30,bepe,no,high,beta,5.20693919890916
ILAND,dischma,historic,30,bepe,no,high_future,alpha,3.690467198892201
ILAND,dischma,historic,30,bepe,no,high_future,beta,5.15555539765883
ILAND,dischma,historic,30,cabe,future,high_future,alpha,0.12510222729325662
ILAND,dischma,historic,30,cabe,future,high_future,beta,0.12687862684269346
ILAND,dischma,historic,30,cabe,historic,high_future,alpha,0.12499173676623142
ILAND,dischma,historic,30,cabe,historic,high_future,beta,0.1274764536807913
ILAND,dischma,historic,30,cabe,no,high_future,alpha,0.12492874653298783
ILAND,dischma,historic,30,cabe,no,high_future,beta,0.127046050280268
ILAND,dischma,historic,30,fasy,future,high_future,alpha,0.02274175668388044
ILAND,dischma,historic,30,fasy,future,high_future,beta,0.032110693116467505
ILAND,dischma,historic,30,fasy,historic,high_future,alpha,0.022307347938713022
ILAND,dischma,historic,30,fasy,historic,high_future,beta,0.0324679262951412
