landscape,climate,scenario,diversity,disturbances,replication,dist_impact,age_structure,experiment,run_id
dischma,historic,prod,no,no,8,species_height,young,2,2908
dischma,historic,prod,no,no,9,species_height,young,2,2909
dischma,historic,prod,no,no,10,species_height,young,2,2910
dischma,historic,prod,no,no,1,species_height,old,2,2911
dischma,historic,prod,no,no,2,species_height,old,2,2912
dischma,historic,prod,no,no,3,species_height,old,2,2913
dischma,historic,prod,no,no,4,species_height,old,2,2914
dischma,historic,prod,no,no,5,species_height,old,2,2915
dischma,historic,prod,no,no,6,species_height,old,2,2916
dischma,historic,prod,no,no,7,species_height,old,2,2917
dischma,historic,prod,no,no,8,species_height,old,2,2918
dischma,historic,prod,no,no,9,species_height,old,2,2919
dischma,historic,prod,no,no,10,species_height,old,2,2920
dischma,RCP85,alpha,high_future,future,1,species_height,young,2,2921
dischma,RCP85,alpha,high_future,future,2,species_height,young,2,2922
dischma,RCP85,alpha,high_future,future,3,species_height,young,2,2923
dischma,RCP85,alpha,high_future,future,4,species_height,young,2,2924
dischma,RCP85,alpha,high_future,future,5,species_height,young,2,2925
dischma,RCP85,alpha,high_future,future,6,species_height,young,2,2926
dischma,RCP85,alpha,high_future,future,7,species_height,young,2,2927
dischma,RCP85,alpha,high_future,future,8,species_height,young,2,2928
dischma,RCP85,alpha,high_future,future,9,species_height,young,2,2929
dischma,RCP85,alpha,high_future,future,10,species_height,young,2,2930
dischma,RCP85,alpha,high_future,future,1,species_height,old,2,2931
dischma,RCP85,alpha,high_future,future,2,species_height,old,2,2932
dischma,RCP85,alpha,high_future,future,3,species_height,old,2,2933
dischma,RCP85,alpha,high_future,future,4,species_height,old,2,2934
dischma,RCP85,alpha,high_future,future,5,species_height,old,2,2935
dischma,RCP85,alpha,high_future,future,6,species_height,old,2,2936
dischma,RCP85,alpha,high_future,future,7,species_height,old,2,2937
dischma,RCP85,alpha,high_future,future,8,species_height,old,2,2938
dischma,RCP85,alpha,high_future,future,9,species_height,old,2,2939
dischma,RCP85,alpha,high_future,future,10,species_height,old,2,2940
dischma,RCP85,alpha,high_future,future,1,random,normal,3,2941
dischma,RCP85,alpha,high_future,future,2,random,normal,3,2942
dischma,RCP85,alpha,high_future,future,3,random,normal,3,2943
dischma,RCP85,alpha,high_future,future,4,random,normal,3,2944
dischma,RCP85,alpha,high_future,future,5,random,normal,3,2945
dischma,RCP85,alpha,high_future,future,6,random,normal,3,2946
dischma,RCP85,alpha,high_future,future,7,random,normal,3,2947
dischma,RCP85,alpha,high_future,future,8,random,normal,3,2948
dischma,RCP85,alpha,high_future,future,9,random,normal,3,2949
dischma,RCP85,alpha,high_future,future,10,random,normal,3,2950
dischma,RCP85,alpha,high_future,future,1,height_only,normal,3,2951
dischma,RCP85,alpha,high_future,future,2,height_only,normal,3,2952
dischma,RCP85,alpha,high_future,future,3,height_only,normal,3,2953
dischma,RCP85,alpha,high_future,future,4,height_only,normal,3,2954
dischma,RCP85,alpha,high_future,future,5,height_only,normal,3,2955
dischma,RCP85,alpha,high_future,future,6,height_only,normal,3,2956
dischma,RCP85,alpha,high_future,future,7,height_only,normal,3,2957
dischma,RCP85,alpha,high_future,future,8,height_only,normal,3,2958
dischma,RCP85,alpha,high_future,future,9,height_only,normal,3,2959
dischma,RCP85,alpha,high_future,future,10,height_only,normal,3,2960
dischma,RCP85,alpha,high_future,future_100,1,species_height,normal,1,2961
dischma,RCP85,alpha,high_future,future_100,2,species_height,normal,1,2962
dischma,RCP85,alpha,high_future,future_100,3,species_height,normal,1,2963
dischma,RCP85,alpha,high_future,future_100,4,species_height,normal,1,2964
dischma,RCP85,alpha,high_future,future_100,5,species_height,normal,1,2965
dischma,RCP85,alpha,high_future,future_100,6,species_height,normal,1,2966
dischma,RCP85,alpha,high_future,future_100,7,species_height,normal,1,2967
dischma,RCP85,alpha,high_future,future_100,8,species_height,normal,1,2968
dischma,RCP85,alpha,high_future,future_100,9,species_height,normal,1,2969
dischma,RCP85,alpha,high_future,future_100,10,species_height,normal,1,2970
dischma,RCP85,alpha,high_future,historic_600,1,species_height,normal,1,2971
dischma,RCP85,alpha,high_future,historic_600,2,species_height,normal,1,2972
dischma,RCP85,alpha,high_future,historic_600,3,species_height,normal,1,2973
dischma,RCP85,alpha,high_future,historic_600,4,species_height,normal,1,2974
dischma,RCP85,alpha,high_future,historic_600,5,species_height,normal,1,2975
dischma,RCP85,alpha,high_future,historic_600,6,species_height,normal,1,2976
dischma,RCP85,alpha,high_future,historic_600,7,species_height,normal,1,2977
dischma,RCP85,alpha,high_future,historic_600,8,species_height,normal,1,2978
dischma,RCP85,alpha,high_future,historic_600,9,species_height,normal,1,2979
dischma,RCP85,alpha,high_future,historic_600,10,species_height,normal,1,2980
dischma,RCP85,alpha,high_future,no,1,species_height,young,2,2981
dischma,RCP85,alpha,high_future,no,2,species_height,young,2,2982
dischma,RCP85,alpha,high_future,no,3,species_height,young,2,2983
dischma,RCP85,alpha,high_future,no,4,species_height,young,2,2984
dischma,RCP85,alpha,high_future,no,5,species_height,young,2,2985
